"id","msgid","namespace","description","en","nl","de","es","it","pt","fr","xx"
"lifelines-webshop-cart-header","lifelines-webshop-cart-header","lifelines-webshop",,"Order variables",,,,,,,
"lifelines-webshop-sidebar-header","lifelines-webshop-sidebar-header","lifelines-webshop",,"1. Select cohorts",,,,,,,
"lifelines-webshop-content-header","lifelines-webshop-content-header","lifelines-webshop",,"2. Select data",,,,,,,
"lifelines-webshop-signed-out-content-header","lifelines-webshop-signed-out-content-header","lifelines-webshop",,"View data",,,,,,,
"lifelines-webshop-orders-title","lifelines-webshop-orders-title","lifelines-webshop",,"Orders","Aanvragen",,,,,,
"lifelines-webshop-modal-button-cancel","lifelines-webshop-modal-button-cancel","lifelines-webshop",,"Cancel","Annuleren",,,,,,
"lifelines-webshop-modal-button-delete","lifelines-webshop-modal-button-delete","lifelines-webshop",,"Delete","Verwijder",,,,,,
"lifelines-webshop-modal-delete-header","lifelines-webshop-modal-delete-header","lifelines-webshop",,"Delete order {{order}}","Verwijder aanvraag {{order}}",,,,,,
"lifelines-webshop-modal-delete-body","lifelines-webshop-modal-delete-body","lifelines-webshop",,"You are about to delete order {{order}}. Are you sure?","Je staat op het punt om aanvraag {{order}} te verwijderen. Weet je het zeker?",,,,,,
"ui-form:form_file_change","ui-form:form_file_change","ui-form",,"Change","Aanpassen",,,,,,
"ui-form:form_file_browse","ui-form:form_file_browse","ui-form",,"Browse","Browse",,,,,,
"lifelines-webshop-order-projectnumber-label","lifelines-webshop-order-projectnumber-label","lifelines-webshop",,"Project number","Project nummer",,,,,,
"lifelines-webshop-order-projectnumber-description","lifelines-webshop-order-projectnumber-description","lifelines-webshop",,"The OV number","Het OV nummer",,,,,,
"lifelines-webshop-order-name-label","lifelines-webshop-order-name-label","lifelines-webshop",,"Label","Label",,,,,,
"lifelines-webshop-order-name-description","lifelines-webshop-order-name-description","lifelines-webshop",,"Optional label for ease of identification","",,,,,,
"lifelines-webshop-order-applicationform-label","lifelines-webshop-order-applicationform-label","lifelines-webshop",,"Application form","",,,,,,
"lifelines-webshop-order-applicationform-description","lifelines-webshop-order-applicationform-description","lifelines-webshop",,"Word or text file to describe the request.","",,,,,,
